Ingredient,Measure,IngredientNumber,idDrink
Vodka,10 shots,1,178312
Bourbon,2 oz ,1,11766
Irish whiskey,1 oz ,1,11528
Vodka,2 cl ,1,14071
Apricot brandy,1 1/2 oz ,1,12434
Gin,1 shot,1,178341
Whisky,4 cl ,1,16262
Cherry brandy,1/2 oz ,1,11870
Cantaloupe,Juice of 1/2 ,1,12708
Green Chartreuse,1 oz,1,17247
Sugar,1 cup,1,12792
Vodka,5 cl,1,178363
Chocolate,125 gr,1,12734
Gin,4cl,1,17194
Southern Comfort,2 oz ,1,16986
Gin,4 cl,1,178365
Brandy,3 parts,1,17192
Vodka,1 1/2 shot ,1,14366
Scotch,1 1/2 oz ,1,12388
Sugar,60 ml,1,178322
Light rum,1 oz ,1,11242
Sambuca,1 1/2 oz ,1,15933
Champagne,Chilled ,1,11227
Sour mix,2 oz ,1,16100
Champagne,Chilled ,1,17205
Carbonated water,,1,11666
Gin,2 shots ,1,17225
Absolut Citron,1 1/2 oz ,1,14107
Ale,1 part Bass pale ,1,13282
Kiwi,1/2,1,178359
Kahlua,1 oz ,1,11243
Vodka,1/2 oz ,1,17204
Milk,2 cups ,1,12748
Apricot brandy,1 oz ,1,11010
151 proof rum,1 shot Bacardi ,1,15226
Grape juice,,1,12954
Dark rum,1/2 oz ,1,17002
Absolut Vodka,1 oz ,1,13938
Coconut rum,1 oz ,1,15200
Vodka,1/2 oz ,1,16998
Ice,4-5 ,1,16275
Gin,2 1/2 oz,1,17255
Pisco,2 oz ,1,13214
Vodka,5 cl,1,17212
Baileys irish cream,2/3 oz,1,17178
Red wine,2 oz ,1,11989
Rum,2 oz light or dark ,1,12071
Peachtree schnapps,4 shots ,1,14888
Rum,1 part ,1,16333
Baileys irish cream,1/3 ,1,15853
Kiwi,3 ,1,12714
Southern Comfort,1 oz ,1,11012
Red wine,1 bottle ,1,13058
Lemonade,1 can ,1,16273
Rum,12 parts,1,17201
Strawberry schnapps,1/2 oz ,1,12322
Milk,2 cups ,1,12688
Vodka,4 cl,1,178364
Amaretto,1/2 oz ,1,11024
Apple juice,3 parts ,1,16958
Vodka,1 shot ,1,13190
Amaretto,1 shot ,1,17094
Amaretto,1 1/2 oz ,1,11027
Dark rum,1 part ,1,17191
Light rum,1 oz ,1,11470
Applejack,1 oz ,1,11046
Baileys irish cream,1 part ,1,13861
Spiced rum,1.5 oz ,1,14586
Vodka,2 cl ,1,15184
Champagne,6 oz ,1,17195
Lager,1/2 pint ,1,13389
Bourbon,2 oz ,1,11602
White Rum,2 oz,1,178371
Vodka,1/3 oz ,1,16354
Yoghurt,1 cup ,1,12672
demerara Sugar,2 tsp ,1,17177
Mango,1 ,1,12716
Brandy,1 oz ,1,17184
Gin,2 oz ,1,11368
Dark rum,2 oz ,1,11023
Bitters,3 dashes ,1,11936
Vodka,1 oz ,1,11462
Tea,6 oz hot ,1,11029
Irish Whiskey,50 ml,1,17826
Gin,2 oz ,1,12402
Water,3 cups ,1,12988
Amaretto,4 cl,1,178321
Orange bitters,2 dashes ,1,11013
Lime,Juice of 1 ,1,12704
Peach Vodka,2-3 oz,1,13581
Blended whiskey,1 1/2 oz ,1,11020
Vodka,1/3 part ,1,14622
Vodka,1 oz ,1,13625
Coffee,1 cup,1,15521
Apple cider,4 qt ,1,12864
Gin,2 oz ,1,11124
Lemonade,5 oz ,1,13086
Chocolate syrup,2 tblsp ,1,12668
Maui,5 oz blue ,1,17118
Absolut Citron,2/3 part ,1,14374
Vodka,1 bottle ,1,12790
White Creme de Menthe,1/2 oz ,1,14560
Kahlua,1 part ,1,13198
Brandy,3/4 oz ,1,11338
Rum,4.5 cl,1,17209
Vodka,1 oz ,1,13499
Goldschlager,1/2 oz ,1,17060
Vodka,1 shot ,1,17015
Cherry brandy,1/2 oz ,1,12214
Egg yolk,6 ,1,12910
Lime,Chopped,1,178353
Coconut Liqueur,30 ml,1,178335
Orange juice,1 part ,1,15092
Bacardi Limon,1 part ,1,17135
Lemon vodka,1 1/2 oz ,1,11019
Rum,2 oz light or dark ,1,12097
Gin,2 oz ,1,17114
Corona,1 bottle ,1,17065
Coffee,,1,14181
Rum,1 shot,1,178331
Light rum,1 1/2 oz ,1,11391
Rum,1 1/2 oz,1,17241
Spiced rum,1 oz ,1,14608
Light rum,1 1/2 oz ,1,17188
Strawberries,1/2 lb frozen ,1,12656
Kahlua,1 cl ,1,13162
White Rum,3 cl,1,17219
Kahlua,2 oz ,1,15511
Kiwi liqueur,1 part ,1,14752
Strawberry schnapps,1/2 oz ,1,12316
Apple juice,2 cups ,1,12564
Gin,1 1/2 shot ,1,17228
Chambord raspberry liqueur,1 shot ,1,16942
7-Up,1 part ,1,13683
Light rum,2-3 oz ,1,11000
Peach nectar,46 oz ,1,13032
Vodka,2 oz,1,178344
Kahlua,2 1/2 oz ,1,17079
Scotch,2 oz ,1,12138
Cider,1/2 pint hard ,1,13497
Sweet Vermouth,3/4 oz ,1,17838
Chocolate ice-cream,2 scoops ,1,15194
Dark rum,2 oz ,1,17837
Rum,mikey bottle ,1,14978
Cognac,2 oz ,1,12196
Gin,2 oz ,1,11408
Brandy,1 oz ,1,12130
Vodka,2 oz ,1,12460
Gin,1 shot ,1,17226
Strawberries,1/2 lb frozen ,1,12658
