idDrink,strDrink,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strTags,dateModified
17201,Hemingway Special,Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into a shaker with ice. Shake.,https://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,"IBA,ContemporaryClassic",2017-09-02 17:31:28
12322,Strawberry Margarita,Ordinary Drink,Alcoholic,Cocktail glass,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",https://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,,2015-08-18 14:41:51
12688,Just a Moonmint,Shake,Non alcoholic,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,,2017-02-20 15:20:36
178364,Vodka Tonic,Cocktail,Alcoholic,Highball glass,"Wash and cut 1 wedge and 1 slice of lime or lemon.
Fill a tumbler with fresh ice.
Pour the desired dose of vodka and top up with the tonic.
Squeeze the lime wedge into the glass and decorate with the slice.
That's all, very simple: it's just the recipe for happiness!",https://www.thecocktaildb.com/images/media/drink/9koz3f1643821062.jpg,,
11024,Almond Joy,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,,2017-01-02 20:18:16
16958,Apple Pie with A Crust,Other / Unknown,Alcoholic,Collins Glass,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.,https://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg,,2016-09-01 09:54:38
13190,Kool-Aid Shot,Shot,Alcoholic,Old-fashioned glass,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,https://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,,2017-08-24 09:56:06
17094,Alice in Wonderland,Ordinary Drink,Alcoholic,Collins Glass,Just mix the three ingredients one to one to one,https://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,,2017-04-24 22:29:51
11027,Amaretto Rose,Ordinary Drink,Alcoholic,Collins glass,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,https://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,,2017-04-24 22:32:59
17191,Planter's Punch,Punch / Party Drink,Alcoholic,Collins glass,"Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",https://www.thecocktaildb.com/images/media/drink/fdk8a31606854815.jpg,"IBA,Classic",2017-09-02 12:23:04
