Entity,Code,Year,Leading cancer types causing death in males
Australia,AUS,1989,Trachea and bronchus and lung
Australia,AUS,1990,Trachea and bronchus and lung
Australia,AUS,1991,Trachea and bronchus and lung
Australia,AUS,1992,Trachea and bronchus and lung
Australia,AUS,1993,Trachea and bronchus and lung
Australia,AUS,1994,Trachea and bronchus and lung
Australia,AUS,1995,Trachea and bronchus and lung
Australia,AUS,1996,Trachea and bronchus and lung
Australia,AUS,1997,Trachea and bronchus and lung
Australia,AUS,1998,Trachea and bronchus and lung
Australia,AUS,1999,Trachea and bronchus and lung
Australia,AUS,2000,Trachea and bronchus and lung
Australia,AUS,2001,Trachea and bronchus and lung
Australia,AUS,2002,Trachea and bronchus and lung
Australia,AUS,2003,Trachea and bronchus and lung
Australia,AUS,2004,Trachea and bronchus and lung
Australia,AUS,2006,Trachea and bronchus and lung
Australia,AUS,2007,Trachea and bronchus and lung
Australia,AUS,2008,Trachea and bronchus and lung
Australia,AUS,2009,Trachea and bronchus and lung
Australia,AUS,2010,Trachea and bronchus and lung
Australia,AUS,2011,Trachea and bronchus and lung
Australia,AUS,2012,Trachea and bronchus and lung
Australia,AUS,2013,Trachea and bronchus and lung
Australia,AUS,2014,Trachea and bronchus and lung
Australia,AUS,2015,Trachea and bronchus and lung
Australia,AUS,2016,Trachea and bronchus and lung
Australia,AUS,2017,Trachea and bronchus and lung
Australia,AUS,2018,Trachea and bronchus and lung
Australia,AUS,2019,Trachea and bronchus and lung
Australia,AUS,2020,Trachea and bronchus and lung
Australia,AUS,2021,Trachea and bronchus and lung
Australia,AUS,2022,Trachea and bronchus and lung
Austria,AUT,1955,Stomach
Austria,AUT,1956,Stomach
Austria,AUT,1957,Stomach
Austria,AUT,1958,Stomach
Austria,AUT,1959,Stomach
Austria,AUT,1960,Trachea and bronchus and lung
Austria,AUT,1961,Trachea and bronchus and lung
Austria,AUT,1962,Other malignant neoplasms
Austria,AUT,1963,Trachea and bronchus and lung
Austria,AUT,1964,Trachea and bronchus and lung
Austria,AUT,1965,Trachea and bronchus and lung
Austria,AUT,1966,Trachea and bronchus and lung
Austria,AUT,1967,Trachea and bronchus and lung
Austria,AUT,1968,Trachea and bronchus and lung
Austria,AUT,1969,Trachea and bronchus and lung
Austria,AUT,1970,Trachea and bronchus and lung
Austria,AUT,1971,Trachea and bronchus and lung
Austria,AUT,1972,Trachea and bronchus and lung
