Subject,eda,bvp,temp,x,y,z,emotion
1,0.23,17.91,33.49,-26,-15,59,0
1,0.22,79.34,33.49,-26,-13,61,0
1,0.22,228.25,33.49,-27,-15,58,0
1,0.23,-486.48,33.49,-22,-15,58,0
1,0.23,-5.1,33.49,-24,-14,62,0
1,0.23,159.69,33.49,-23,-13,60,0
1,0.23,62.15,33.59,-25,-14,59,0
1,0.23,38.37,33.59,-25,-13,59,0
1,0.23,-26.09,33.59,-25,-14,59,0
1,0.23,9.92,33.59,-26,-14,59,0
1,0.23,71.13,33.55,-25,-14,59,0
1,0.23,153.24,33.55,-25,-14,59,0
1,0.23,65.77,33.55,-25,-14,59,0
1,0.23,8.93,33.55,-26,-14,59,0
1,0.23,-9.88,33.5,-25,-14,59,0
1,0.23,-19.43,33.5,-25,-14,59,0
1,0.23,-94.83,33.5,-25,-14,59,0
1,0.23,-328.33,33.5,-25,-14,59,0
1,0.23,-105.01,33.49,-24,-14,59,0
1,0.23,18.73,33.49,-25,-14,59,0
1,0.23,32.98,33.49,-25,-14,59,0
1,0.23,23.65,33.49,-25,-14,59,0
1,0.23,18.05,33.49,-25,-14,59,0
1,0.23,10.09,33.49,-25,-14,59,0
1,0.23,11.29,33.49,-25,-14,59,0
1,0.23,7.27,33.49,-25,-14,59,0
1,0.23,8.44,33.49,-24,-14,59,0
1,0.23,7.77,33.49,-25,-14,59,0
1,0.23,5.03,33.49,-25,-14,59,0
1,0.23,3.62,33.49,-25,-13,60,0
1,0.23,5.16,33.47,-25,-14,59,0
1,0.23,5.69,33.47,-25,-14,59,0
1,0.23,2.1,33.47,-25,-14,59,0
1,0.23,0.98,33.47,-25,-14,59,0
1,0.23,2.38,33.45,-25,-14,59,0
1,0.23,3.85,33.45,-25,-14,59,0
1,0.23,2.71,33.45,-24,-14,59,0
1,0.23,3.21,33.45,-25,-14,59,0
1,0.23,-3.08,33.45,-26,-13,58,0
1,0.23,2.32,33.45,-24,-14,60,0
1,0.23,1.79,33.45,-23,-14,59,0
1,0.23,-0.71,33.45,-23,-14,60,0
1,0.23,-2.07,33.43,-24,-13,60,0
1,0.23,2.28,33.43,-23,-13,60,0
1,0.23,-1.15,33.43,-23,-13,59,0
1,0.23,6.16,33.43,-23,-13,60,0
1,0.23,0.3,33.43,-23,-14,60,0
1,0.23,-3.57,33.43,-23,-14,60,0
1,0.23,4.85,33.43,-23,-14,60,0
1,0.23,-0.41,33.43,-23,-13,60,0
1,0.23,-2.35,33.41,-23,-14,60,0
1,0.23,6.72,33.41,-23,-13,60,0
1,0.23,1.48,33.41,-23,-14,60,0
1,0.23,-1.69,33.41,-22,-14,60,0
1,0,-0.03,27.95,18,29,54,0
1,0.24,5.06,27.95,18,29,54,0
1,0.34,17.91,27.95,17,29,54,0
1,0.33,79.34,27.95,20,29,53,0
1,0.33,228.25,27.95,18,29,54,0
1,0.34,-486.5,27.95,18,29,55,0
1,0.34,-5.9,27.95,18,29,54,0
1,0.33,156.15,27.95,17,29,54,0
1,0.34,46.78,27.95,17,29,54,0
1,0.34,4.05,27.95,16,29,54,0
1,0.34,0.17,27.95,17,29,54,0
1,0.34,0.85,27.95,17,29,54,0
1,0.34,3.75,27.95,17,29,54,0
1,0.34,14.69,27.95,20,29,55,0
1,0.34,12.88,27.95,22,29,51,0
1,0.34,-14.66,27.95,34,33,42,0
1,0.33,16.53,27.93,34,34,43,0
1,0.33,71,27.93,32,33,43,0
1,0.33,106.97,27.93,30,32,44,0
1,0.33,-3.21,27.93,38,33,40,0
1,0.33,-269.74,27.93,34,32,41,0
1,0.33,-26.35,27.93,36,31,42,0
1,0.33,35.56,27.93,37,32,41,0
1,0.33,21.61,27.93,36,32,42,0
1,0.33,-15.96,27.91,38,33,40,0
1,0.33,-34.31,27.91,40,33,40,0
1,0.33,-13.06,27.91,37,33,42,0
1,0.33,22.06,27.91,36,32,42,0
1,0.33,-8.06,27.91,36,32,42,0
1,0.33,31.08,27.91,36,32,42,0
1,0.33,38.39,27.91,36,32,41,0
1,0.33,-53.65,27.91,37,33,44,0
