Entity,Code,Year,Leading cancer types causing death in females
Australia,AUS,2009,Trachea and bronchus and lung
Australia,AUS,2010,Trachea and bronchus and lung
Australia,AUS,2011,Trachea and bronchus and lung
Australia,AUS,2012,Trachea and bronchus and lung
Australia,AUS,2013,Trachea and bronchus and lung
Australia,AUS,2014,Trachea and bronchus and lung
Australia,AUS,2015,Trachea and bronchus and lung
Australia,AUS,2016,Trachea and bronchus and lung
Australia,AUS,2017,Trachea and bronchus and lung
Australia,AUS,2018,Trachea and bronchus and lung
Australia,AUS,2019,Trachea and bronchus and lung
Australia,AUS,2020,Trachea and bronchus and lung
Australia,AUS,2021,Trachea and bronchus and lung
Australia,AUS,2022,Trachea and bronchus and lung
Austria,AUT,1955,Other malignant neoplasms
Austria,AUT,1956,Other malignant neoplasms
Austria,AUT,1957,Other malignant neoplasms
Austria,AUT,1958,Other malignant neoplasms
Austria,AUT,1959,Other malignant neoplasms
Austria,AUT,1960,Other malignant neoplasms
Austria,AUT,1961,Other malignant neoplasms
Austria,AUT,1962,Other malignant neoplasms
Austria,AUT,1963,Other malignant neoplasms
Austria,AUT,1964,Other malignant neoplasms
Austria,AUT,1965,Other malignant neoplasms
Austria,AUT,1966,Other malignant neoplasms
Austria,AUT,1967,Other malignant neoplasms
Austria,AUT,1968,Other malignant neoplasms
Austria,AUT,1969,Other malignant neoplasms
Austria,AUT,1970,Other malignant neoplasms
Austria,AUT,1971,Other malignant neoplasms
Austria,AUT,1972,Other malignant neoplasms
Austria,AUT,1973,Other malignant neoplasms
Austria,AUT,1974,Other malignant neoplasms
Austria,AUT,1975,Other malignant neoplasms
Austria,AUT,1976,Other malignant neoplasms
Austria,AUT,1977,Other malignant neoplasms
Austria,AUT,1978,Other malignant neoplasms
Austria,AUT,1979,Other malignant neoplasms
Austria,AUT,1980,Breast
Austria,AUT,1981,Breast
Austria,AUT,1982,Breast
Austria,AUT,1983,Breast
Austria,AUT,1984,Breast
Austria,AUT,1985,Breast
Austria,AUT,1986,Breast
Austria,AUT,1987,Breast
Austria,AUT,1988,Breast
Austria,AUT,1989,Breast
Austria,AUT,1990,Breast
Austria,AUT,1991,Breast
Austria,AUT,1992,Breast
Austria,AUT,1993,Breast
Austria,AUT,1994,Breast
Austria,AUT,1995,Breast
Austria,AUT,1996,Breast
Austria,AUT,1997,Breast
Austria,AUT,1998,Breast
Austria,AUT,1999,Breast
Austria,AUT,2000,Breast
Austria,AUT,2001,Breast
Austria,AUT,2002,Breast
Austria,AUT,2003,Breast
Austria,AUT,2004,Breast
Austria,AUT,2005,Breast
Austria,AUT,2006,Breast
Austria,AUT,2007,Breast
Austria,AUT,2008,Breast
Austria,AUT,2009,Breast
Austria,AUT,2010,Breast
Austria,AUT,2011,Breast
Austria,AUT,2012,Breast
Austria,AUT,2013,Breast
Austria,AUT,2014,Trachea and bronchus and lung
Austria,AUT,2015,Trachea and bronchus and lung
Austria,AUT,2016,Trachea and bronchus and lung
Austria,AUT,2017,Trachea and bronchus and lung
Austria,AUT,2018,Trachea and bronchus and lung
Austria,AUT,2019,Trachea and bronchus and lung
Austria,AUT,2020,Trachea and bronchus and lung
Austria,AUT,2021,Trachea and bronchus and lung
Azerbaijan,AZE,1981,Other malignant neoplasms
Azerbaijan,AZE,1982,Other malignant neoplasms
Azerbaijan,AZE,1985,Other malignant neoplasms
Azerbaijan,AZE,1986,Other malignant neoplasms
Azerbaijan,AZE,1987,Other malignant neoplasms
Azerbaijan,AZE,1988,Other malignant neoplasms
Azerbaijan,AZE,1989,Other malignant neoplasms
Azerbaijan,AZE,1990,Other malignant neoplasms
Azerbaijan,AZE,1991,Other malignant neoplasms
Azerbaijan,AZE,1992,Other malignant neoplasms
Azerbaijan,AZE,1993,Other malignant neoplasms
Azerbaijan,AZE,1994,Other malignant neoplasms
Azerbaijan,AZE,1995,Other malignant neoplasms
Azerbaijan,AZE,1996,Other malignant neoplasms
Azerbaijan,AZE,1997,Other malignant neoplasms
Azerbaijan,AZE,1998,Other malignant neoplasms
Azerbaijan,AZE,1999,Other malignant neoplasms
Azerbaijan,AZE,2000,Other malignant neoplasms
Azerbaijan,AZE,2001,Other malignant neoplasms
Azerbaijan,AZE,2002,Other malignant neoplasms
Azerbaijan,AZE,2003,Other malignant neoplasms
Azerbaijan,AZE,2004,Stomach
Azerbaijan,AZE,2007,Ill-defined malignant neoplasms
Bahamas,BHS,1972,Other malignant neoplasms
Bahamas,BHS,1975,Other malignant neoplasms
Bahamas,BHS,1979,Other malignant neoplasms
Bahamas,BHS,1980,Breast
Bahamas,BHS,1981,Breast
Bahamas,BHS,1983,Mouth and oropharynx
Bahamas,BHS,1984,Breast
Bahamas,BHS,1985,Other malignant neoplasms
Bahamas,BHS,1987,Trachea and bronchus and lung
Bahamas,BHS,1993,Breast
Bahamas,BHS,1994,Breast
Bahamas,BHS,1995,Breast
Bahamas,BHS,1996,Breast
Bahamas,BHS,1997,Breast
Bahamas,BHS,1998,Breast
Bahamas,BHS,1999,Breast
Bahamas,BHS,2000,Breast
Bahamas,BHS,2001,Breast
Bahamas,BHS,2002,Breast
Bahamas,BHS,2003,Breast
Bahamas,BHS,2004,Breast
Bahamas,BHS,2005,Breast
Bahamas,BHS,2006,Breast
Bahamas,BHS,2007,Breast
Bahamas,BHS,2008,Breast
Bahamas,BHS,2009,Breast
Bahamas,BHS,2010,Breast
Bahamas,BHS,2011,Breast
Bahamas,BHS,2012,Breast
Bahamas,BHS,2013,Breast
Bahamas,BHS,2014,Breast
Bahamas,BHS,2015,Breast
Bahrain,BHR,1985,Trachea and bronchus and lung
Bahrain,BHR,1987,Trachea and bronchus and lung
Bahrain,BHR,1988,Breast
Bahrain,BHR,1997,Breast
Bahrain,BHR,1998,Breast
Bahrain,BHR,1999,Breast
Bahrain,BHR,2000,Breast
Bahrain,BHR,2001,Breast
Bahrain,BHR,2002,Breast
Bahrain,BHR,2003,Breast
Bahrain,BHR,2004,Breast
Bahrain,BHR,2005,Breast
Bahrain,BHR,2006,Breast
Bahrain,BHR,2007,Breast
Bahrain,BHR,2008,Breast
Bahrain,BHR,2009,Breast
Bahrain,BHR,2010,Breast
Bahrain,BHR,2011,Breast
Bahrain,BHR,2012,Breast
Bahrain,BHR,2013,Breast
Bahrain,BHR,2014,Breast
Barbados,BRB,1960,Breast
Barbados,BRB,1961,Other malignant neoplasms
Barbados,BRB,1962,Cervix uteri
Barbados,BRB,1963,Other malignant neoplasms
Barbados,BRB,1964,Cervix uteri
Barbados,BRB,1966,Other malignant neoplasms
Barbados,BRB,1967,Breast
Barbados,BRB,1968,Other malignant neoplasms
Barbados,BRB,1969,Other malignant neoplasms
Barbados,BRB,1970,Cervix uteri
Barbados,BRB,1971,Breast
Barbados,BRB,1972,Other malignant neoplasms
Barbados,BRB,1973,Other malignant neoplasms
Barbados,BRB,1974,Other malignant neoplasms
Barbados,BRB,1975,Other malignant neoplasms
Barbados,BRB,1976,Other malignant neoplasms
Barbados,BRB,1977,Other malignant neoplasms
Barbados,BRB,1978,Other malignant neoplasms
Barbados,BRB,1979,Breast
Barbados,BRB,1980,Breast
Barbados,BRB,1981,Breast
Barbados,BRB,1982,Cervix uteri
Barbados,BRB,1983,Breast
Barbados,BRB,1984,Breast
Barbados,BRB,1985,Breast
Barbados,BRB,1986,Breast
Barbados,BRB,1987,Breast
Barbados,BRB,1988,Breast
Barbados,BRB,1989,Breast
Barbados,BRB,1990,Breast
Barbados,BRB,1991,Breast
Barbados,BRB,1992,Breast
Barbados,BRB,1993,Breast
Barbados,BRB,1994,Breast
Barbados,BRB,1995,Breast
Barbados,BRB,2000,Breast
Barbados,BRB,2001,Breast
Barbados,BRB,2002,Breast
