row ID;Belehrungszeitpunkt;Altersgruppe;Bezahlart;Authentifizierungsart;Versandart;Zielgruppe
Row545;2022-06-09T12:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row547;2022-06-09T12:00:00+00:00;10-19;sepa;Selfie;E-Mail;Beruflich
Row550;2022-06-09T14:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row552;2022-06-09T15:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row554;2022-06-09T15:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row556;2022-06-09T15:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row559;2022-06-09T16:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row560;2022-06-09T16:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row562;2022-06-09T16:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row567;2022-06-09T17:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row572;2022-06-09T18:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row573;2022-06-09T19:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row575;2022-06-09T19:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row577;2022-06-09T19:00:00+00:00;40-49;giropay;Selfie;E-Mail;Beruflich
Row578;2022-06-09T19:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row585;2022-06-09T22:00:00+00:00;20-29;sepa;Selfie;E-Mail;Beruflich
Row587;2022-06-09T22:00:00+00:00;30-39;sepa;Selfie;Post;Beruflich
Row588;2022-06-09T22:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row590;2022-06-09T22:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row591;2022-06-09T22:00:00+00:00;20-29;paypal;Selfie;Post;Beruflich
Row598;2022-06-10T13:00:00+00:00;20-29;paypal;Selfie;Post;Beruflich
Row599;2022-06-10T13:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row602;2022-06-10T13:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row603;2022-06-10T16:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row604;2022-06-10T16:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row611;2022-06-10T20:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row614;2022-06-10T23:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row620;2022-06-11T14:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row625;2022-06-11T18:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row628;2022-06-11T19:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row631;2022-06-12T10:00:00+00:00;50-59;creditcard;Selfie;E-Mail;Beruflich
Row634;2022-06-12T16:00:00+00:00;50-59;sepa;Selfie;E-Mail;Beruflich
Row639;2022-06-12T23:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row642;2022-06-13T10:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row644;2022-06-13T11:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row646;2022-06-13T12:00:00+00:00;10-19;paypal;eID;E-Mail;Beruflich
Row647;2022-06-13T13:00:00+00:00;50-59;paypal;Selfie;E-Mail;Beruflich
Row649;2022-06-13T13:00:00+00:00;20-29;paypal;Selfie;Post;Beruflich
Row651;2022-06-13T14:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row652;2022-06-13T14:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row655;2022-06-13T15:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row660;2022-06-13T21:00:00+00:00;10-19;creditcard;eID;E-Mail;Beruflich
Row663;2022-06-13T22:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row664;2022-06-13T22:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row665;2022-06-13T22:00:00+00:00;30-39;sepa;Selfie;E-Mail;Beruflich
Row668;2022-06-14T09:00:00+00:00;20-29;paypal;Selfie;Post;Beruflich
Row670;2022-06-14T10:00:00+00:00;40-49;sepa;Selfie;Post;Beruflich
Row671;2022-06-14T11:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row675;2022-06-14T13:00:00+00:00;30-39;sepa;Selfie;E-Mail;Beruflich
Row676;2022-06-14T13:00:00+00:00;10-19;paypal;Selfie;Post;Beruflich
Row678;2022-06-14T15:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row679;2022-06-14T16:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row683;2022-06-14T17:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row686;2022-06-14T19:00:00+00:00;70-79;sepa;Selfie;E-Mail;Beruflich
Row687;2022-06-14T19:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row693;2022-06-15T12:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row695;2022-06-15T14:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row696;2022-06-15T15:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row697;2022-06-15T15:00:00+00:00;30-39;sepa;eID;Download;Ehrenamtlich
Row699;2022-06-15T16:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row708;2022-06-15T20:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row709;2022-06-15T22:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row710;2022-06-15T23:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row715;2022-06-16T12:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row731;2022-06-16T22:00:00+00:00;50-59;paypal;Selfie;E-Mail;Beruflich
Row733;2022-06-17T09:00:00+00:00;40-49;paypal;Selfie;Post;Beruflich
Row737;2022-06-17T13:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row742;2022-06-17T15:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row744;2022-06-17T16:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row746;2022-06-17T16:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row747;2022-06-17T17:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row752;2022-06-18T12:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row753;2022-06-18T17:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row756;2022-06-18T20:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row758;2022-06-19T11:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row764;2022-06-19T14:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row765;2022-06-19T16:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row770;2022-06-19T21:00:00+00:00;30-39;sepa;Selfie;E-Mail;Beruflich
Row772;2022-06-20T00:00:00+00:00;20-29;sepa;Selfie;E-Mail;Beruflich
Row774;2022-06-20T10:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row775;2022-06-20T11:00:00+00:00;20-29;paypal;eID;Download;Beruflich
Row777;2022-06-20T13:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row778;2022-06-20T13:00:00+00:00;30-39;paypal;eID;Download;Beruflich
Row781;2022-06-20T14:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row782;2022-06-20T14:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row784;2022-06-20T15:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row788;2022-06-20T18:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row791;2022-06-20T19:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row792;2022-06-20T21:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row794;2022-06-20T22:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row796;2022-06-21T10:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row797;2022-06-21T10:00:00+00:00;70-79;creditcard;Selfie;Post;Beruflich
Row799;2022-06-21T12:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row800;2022-06-21T12:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row802;2022-06-21T13:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row809;2022-06-21T15:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row811;2022-06-21T15:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row812;2022-06-21T16:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row815;2022-06-21T18:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row821;2022-06-22T00:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row822;2022-06-22T04:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row826;2022-06-22T12:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row834;2022-06-22T15:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row835;2022-06-22T16:00:00+00:00;10-19;paypal;Selfie;Post;Beruflich
Row838;2022-06-22T18:00:00+00:00;10-19;creditcard;Selfie;E-Mail;Beruflich
Row842;2022-06-22T20:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row844;2022-06-22T21:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row848;2022-06-22T22:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row849;2022-06-23T00:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row850;2022-06-23T00:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row852;2022-06-23T03:00:00+00:00;50-59;paypal;Selfie;E-Mail;Beruflich
Row855;2022-06-23T11:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row856;2022-06-23T12:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
