LIIK;TYYP;MARK;MUDEL;KATEGOORIA;KERE_MATERJAL;PIKKUS;LAIUS;SYVIS;EHITUSAASTA;ESMANE_REG_KP;MOOTORITE_ARV;MOOTORITE_VOIMSUS;VKOM_MAAKOND;VKOM_TYYP
VÄIKELAEV;KALAPAAT;-;-;C;TERAS;4.65;1.7;0.0;1974;;0;5.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;JENHAL;Y 330;C;KANGAS;3.25;1.51;;2013;;1;11.2;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BUSH;CRAB K-360;C;KANGAS;3.6;1.7;;2012;;1;18.4;Tartu;FYYSILINE
JETT;;SEA DOO;GSX;D;;2.67;1.16;;1999;;1;96.0;Harju;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;SJÖJEEP;430;D;ALUMIINIUM;4.3;1.8;0.5;1987;2014-10-29;1;22.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;-;D;PLASTIK;4.2;1.4;0.28;1980;;1;4.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;-;-;C;ALUMIINIUM;4.65;1.7;0.2;1986;;0;5.0;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.27;1.58;0.26;2012;;1;4.0;Saare;FYYSILINE
ALLA12MLAEV;KALAPAAT;UST-LUGA;-;C;TERAS;11.3;3.02;1.1;1991;;1;47.8;Tartu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;2;D;ALUMIINIUM;4.65;1.7;0.15;1992;;1;22.0;Põlva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;-;-;B;PUIT;6.2;1.8;0.0;1985;;0;6.0;Saare;FYYSILINE
VÄIKELAEV;KALAPAAT;-;-;C;PLASTIK;4.95;1.95;0.0;1989;;0;5.0;;FYYSILINE
VÄIKELAEV;MOOTORPAAT;FINNFAMILY;550 CABIN;C;PLASTIK;5.9;2.5;0.0;1985;;1;63.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;LATREX;430;C;PLASTIK;4.3;1.7;;2015;2015-08-29;1;11.0;Valga;FYYSILINE
VÄIKELAEV;MOOTORPAAT;YAMARIN CROSS;57 BOW RIDER;C;ALUMIINIUM;5.66;2.17;0.32;2017;2017-05-22;1;85.0;Tartu;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;DULKAN;290 DL;D;KANGAS;2.9;1.45;0.1;2016;2017-06-16;1;3.7;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;2.85;1.5;0.0;2000;;0;6.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;GRAND;R420;C;KANGAS;4.2;2.05;;2006;;1;29.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TERHI;SEA FUN;D;PLASTIK;4.01;1.67;0.25;;2019-08-21;1;22.1;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;3.0;1.49;0.0;2000;;0;6.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TAHOE;Q5S;C;PLASTIK;5.92;2.31;0.9;2001;2015-07-15;1;165.0;Tartu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;BUSH;K-360;C;KANGAS;3.6;1.7;0.15;2014;;1;18.4;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;-;D;PLASTIK;4.1;1.5;0.0;1984;;1;1.5;Tartu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;KAISLA;550MC;C;PLASTIK;5.42;2.07;0.28;2014;2015-05-08;1;44.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;LIU PAAT;-;C;PLASTIK;5.0;1.6;0.38;2002;;1;6.0;Pärnu;FYYSILINE
ALLA12MLAEV;KALAPAAT;KAISLA;435 M ;D;PLASTIK;4.4;1.4;0.18;2009;;1;4.4;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;KUMM;2.6;1.2;0.0;2000;;0;3.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;LIU PAAT;-;C;PUIT;7.62;2.2;0.41;1985;;1;6.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;CURSUS;DREAMER 380;C;KUMM;3.8;1.7;0.25;2008;;0;14.9;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;JUZANKA;-;D;ALUMIINIUM;4.63;1.6;0.2;1978;;1;6.0;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;MINI;D;PLASTIK;4.0;1.45;0.15;2007;;1;3.0;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;VELES;330;D;KANGAS;3.3;1.65;0.2;2010;;1;11.0;Pärnu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;LOHI;410;D;PLASTIK;4.1;1.55;0.2;1990;2018-05-03;1;7.5;Lääne;FYYSILINE
VÄIKELAEV;MOOTORPAAT;KOLIBRI;KM 330;C;KANGAS;3.3;1.6;;2014;2015-06-09;1;12.0;Tartu;FYYSILINE
VÄIKELAEV;PURJEJAHT;POLARIS;-;C;PLASTIK;7.62;2.69;1.6;1991;2018-09-13;1;7.4;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;KRÕM;-;C;ALUMIINIUM;4.3;1.7;0.2;1975;2002-08-02;1;22.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;TOLBA;-;D;PLASTIK;4.15;1.38;0.2;2003;;1;2.4;Valga;FYYSILINE
VÄIKELAEV;PURJEJAHT;BAVARIA;33 CRUISER;A;PLASTIK;9.99;3.42;1.96;2015;2015-05-19;1;21.0;Harju;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PLASTIK;4.3;1.6;0.25;1994;;1;10.0;Lääne;FYYSILINE
JETT;;SEA-DOO;RXP-X;;MUU;3.07;1.22;0.0;2008;;0;190.0;Harju;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;SKATE;S-350;C;KANGAS;3.5;1.68;;;2022-07-12;1;15.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;OMAVALMISTATUD;-;C;PLASTIK;4.05;1.55;0.25;1995;;1;15.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KAZANKA;-;D;ALUMIINIUM;4.7;1.24;0.0;1980;;1;3.6;Lääne;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KEFAL;-;D;PUIT;3.8;1.3;0.1;1988;;0;0.0;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;FISHMAN;400;D;KANGAS;3.4;1.42;0.1;2012;2015-07-17;1;0.8;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;HONWAVE;T40AE1;C;KANGAS;4.0;1.89;0.1;2007;;0;22.5;Viljandi;FYYSILINE
VÄIKELAEV;MOOTORPAAT;OMAVALMISTATUD;-;D;PLASTIK;4.5;1.8;0.35;1999;;1;22.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;3.9;1.2;0.1;1998;;1;6.0;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KAZANKA;-;D;ALUMIINIUM;4.63;1.24;0.15;1970;;1;6.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MASTER;450;D;ALUMIINIUM;4.5;1.75;;1997;2016-02-05;1;22.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;3.8;1.12;0.1;1999;;0;0.0;;FYYSILINE
JETT;;KAWASAKI;JS1500A;C;;2.66;0.77;;2017;2018-05-15;1;112.0;Pärnu;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.3;1.55;0.28;2008;;0;4.0;Saare;FYYSILINE
ALLA12MLAEV;KALAPAAT;NAVIS;N 465;C;PLASTIK;4.62;1.73;0.35;2012;;1;7.4;Harju;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;2.6;1.5;0.0;1998;;0;6.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KIM;314;D;PLASTIK;3.14;1.43;0.2;2006;;1;3.8;Viljandi;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;5.9;1.8;0.3;1994;;1;10.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;2;D;ALUMIINIUM;4.65;1.7;0.3;1973;;1;29.5;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;DNEPR;2;C;TERAS;4.4;1.6;0.3;1977;;1;22.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BELLA;7000;C;PLASTIK;7.05;2.5;;;2022-07-06;1;44.1;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;HONWAVE;T38IE;C;KANGAS;3.76;1.7;0.15;2014;2014-07-11;1;18.7;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;C;PLASTIK;4.3;1.55;0.0;2001;;0;4.0;Saare;FYYSILINE
VÄIKELAEV;PURJEJAHT;JUNKER;22;C;PLASTIK;6.5;1.98;0.9;1979;;1;6.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;RYDS;TUMLARE;C;PLASTIK;4.8;1.8;0.35;1978;2018-05-17;1;30.0;Rapla;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;2.8;1.4;0.0;1998;;0;3.0;Harju;FYYSILINE
VÄIKELAEV;PURJEJAHT;ORION;-;B;PUIT;8.58;2.3;1.47;1976;2000-06-28;1;10.5;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;TERHI;385;D;PLASTIK;3.85;1.5;0.18;2008;;1;4.5;;FYYSILINE
VÄIKELAEV;MOOTORPAAT;YAMARIN;4110;D;PLASTIK;4.12;1.68;0.25;;2013-07-19;1;22.0;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;AQUA STORM;STK330;C;KANGAS;3.3;1.45;;2015;2017-05-03;1;7.4;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;VOLZHANKA;FISHPRO X3;C;ALUMIINIUM;5.1;2.03;0.87;;2020-11-19;1;74.6;Võru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KOLIBRI;K 280D;C;KANGAS;2.28;1.4;0.13;;2022-06-09;1;4.0;Tartu;FYYSILINE
JETT;;YAMAHA;FC 1800-W/FX SVHO;;;3.58;1.27;;2021;2022-03-29;1;184.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PLASTIK;4.0;1.46;0.15;1989;;1;1.5;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;CHAMPION;ALLANTE 535VR;C;PLASTIK;5.35;2.33;0.03;1998;;1;112.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;RENKEN BOAT;-;C;PLASTIK;6.0;2.25;0.35;1990;;1;129.0;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;PLASTIK;4.4;1.6;0.0;2002;;0;6.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;ZODIAC;CADET 350 AERO;C;KANGAS;3.5;1.72;;;2022-05-26;1;12.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;ALUMIINIUM;4.65;1.7;0.0;1987;;0;22.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;AMBER;430;C;PLASTIK;4.3;1.55;0.2;;2020-06-15;1;14.7;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;KRÕM;5M;D;PLASTIK;4.05;1.65;0.3;1991;;1;22.1;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KAZANKA;-;D;ALUMIINIUM;4.63;1.26;0.2;1968;;1;10.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BUSH;CRAB K-330;C;KANGAS;3.3;1.48;;2011;;1;15.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;OMAVALMISTATUD;OMAVALMISTATUD;D;PUIT;5.23;1.9;0.5;2017;2017-07-21;1;15.0;Saare;FYYSILINE
ALLA12MLAEV;KALAPAAT;AMUR;B;C;ALUMIINIUM;5.5;1.84;0.5;1990;;1;73.5;Jõgeva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;OMAVALMISTATUD;-;D;PUIT;7.0;1.8;0.2;1996;;1;22.0;Viljandi;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;ORION;5;D;KUMM;2.6;1.4;0.0;2004;;1;3.0;Põlva;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;NORDLINE;42;D;PLASTIK;4.2;1.55;0.2;2011;;1;7.5;Saare;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;MÄÄRAMATA;-;D;PLASTIK;3.25;1.3;0.2;1997;;1;4.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;OMAVALMISTATUD;-;C;PLASTIK;4.85;1.8;0.25;;2019-05-10;1;36.8;Võru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SUNBIRD;BARLETTA;C;PLASTIK;6.1;2.35;0.3;1991;;1;128.0;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;GLADIATOR;C 330 AD;C;KANGAS;3.3;1.54;0.18;;2019-07-02;1;14.0;Põlva;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;MINI;D;PLASTIK;4.0;1.45;0.15;2009;;1;3.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;-;-;C;ALUMIINIUM;4.65;1.7;0.23;1981;;0;5.0;Pärnu;FYYSILINE
ALLA12MLAEV;KALAPAAT;AMUR;D;C;ALUMIINIUM;5.5;1.8;0.32;1987;;1;75.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;ORION;10;D;KUMM;3.2;1.5;0.15;2008;;1;7.4;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;2.55;1.11;0.0;1989;;0;0.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;VATOR;14R;D;PLASTIK;4.2;1.6;0.25;2000;;1;15.0;Viljandi;FYYSILINE
ALLA12MLAEV;KALAPAAT;AMUR;D;C;ALUMIINIUM;5.5;1.88;0.4;1990;;1;44.0;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PROGRESS;2M;D;ALUMIINIUM;4.65;1.7;0.2;1985;;1;10.0;Viljandi;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PAKRI;450 COMFORT;C;PLASTIK;4.5;1.6;0.3;2008;;1;11.2;;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;SEA RAY;225 WEEKENDER;C;PLASTIK;6.41;2.44;0.45;1980;;1;184.0;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BAYLINER;742R;C;PLASTIK;6.64;2.55;0.9;2021;2021-05-27;1;261.0;Harju;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.3;1.55;0.28;2012;;1;4.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KIILI PAAT;440;D;PLASTIK;4.4;1.62;0.2;2008;;1;6.0;Saare;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;-;D;PLASTIK;4.1;1.46;0.0;1979;;1;3.7;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;LOHI;SEKO;C;PLASTIK;4.5;1.7;0.15;1984;;1;37.0;Harju;FYYSILINE
JETT;;SEA-DOO;RXP-X 300 RS;C;;3.28;1.15;;;2019-07-29;1;217.0;Harju;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.3;1.55;0.28;2009;;1;4.0;Harju;FYYSILINE
ALLA12MLAEV;KALAPAAT;MÄÄRAMATA;-;C;PUIT;6.3;2.0;0.4;1974;;1;10.0;Hiiu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;C-440 A;-;D;PLASTIK;4.4;1.65;0.25;2018;2018-07-11;1;14.7;Saare;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;3.2;1.55;0.0;2003;;0;7.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;MINI;D;PLASTIK;4.0;1.45;0.15;2015;2015-04-17;1;2.9;Jõgeva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;-;-;B;PLASTIK;4.4;1.7;0.0;1986;;0;4.0;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;VELES;360;D;KANGAS;3.6;1.7;0.42;2009;;1;18.5;Tartu;JURIIDILINE
ALLA12MLAEV;KALAPAAT;OMAVALMISTATUD;-;C;PLASTIK;7.7;2.42;0.5;1977;;0;60.0;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KAZANKA;-;D;TERAS;4.63;1.7;0.6;1970;;1;6.0;Ida-Viru;FYYSILINE
ALLA12MLAEV;KALAPAAT;OMAVALMISTATUD;-;C;PLASTIK;5.5;2.0;0.6;1980;;1;20.0;Pärnu;FYYSILINE
ALLA12MLAEV;KALAPAAT;KASSE;430;D;PLASTIK;4.28;1.58;0.28;1995;;1;4.0;Lääne;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;TERHI;415 R;C;PLASTIK;4.15;1.75;0.2;1989;;1;25.7;;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;KUMM;3.25;1.5;0.0;1986;;0;3.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;PLASTIK;4.3;1.39;0.2;1988;;0;4.0;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;PLASTIK;3.9;1.4;0.22;2004;;0;4.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;C;PUIT;4.1;1.95;0.2;1995;;0;4.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BRIG;B310;D;KANGAS;3.1;1.5;0.15;1999;;1;11.2;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;FLIPPER;630 HT;C;PLASTIK;6.33;2.4;0.75;2016;2016-06-21;1;111.0;Harju;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;2M;D;ALUMIINIUM;4.65;1.7;0.3;1988;;1;22.0;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;WHALY;500;C;PLASTIK;4.99;2.1;0.25;2019;2019-02-11;0;38.0;Saare;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;CATRAN;ENDURO 380 PG;C;KANGAS;3.8;1.7;0.15;2013;2016-04-25;1;14.9;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;BUSH;K285;D;KANGAS;2.85;1.32;0.0;2006;;1;3.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;FJORD;D;PLASTIK;4.3;1.45;0.08;1989;;0;0.0;Tartu;FYYSILINE
ALLA12MLAEV;KALAPAAT;NORDLINE;51 ;D;PLASTIK;5.15;1.7;0.2;2014;;1;18.6;;FYYSILINE
VÄIKELAEV;MOOTORPAAT;OKA;4;D;ALUMIINIUM;4.25;1.48;0.3;;2020-12-04;1;18.4;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.3;1.58;0.28;1997;;1;4.0;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SEA RAY;320 DA;C;PLASTIK;10.82;3.48;1.04;2002;2018-07-31;2;478.0;Harju;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;ROBUST;15;C;PLASTIK;4.47;1.76;0.3;2007;;1;8.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;QUICKSILVER;ACTIV 505 CABIN;C;PLASTIK;4.81;2.06;0.36;2021;2021-05-12;1;74.0;Tartu;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;ORION;5 E;D;KUMM;2.6;1.4;0.1;2008;;1;3.7;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;VATOR;15;C;PLASTIK;4.3;1.71;0.25;1980;;1;48.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;AMUR;D;C;ALUMIINIUM;5.75;1.88;0.3;1990;;1;44.0;Jõgeva;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;PLASTIK;4.4;1.63;0.0;1992;;0;6.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;LINDER;SPORTSMAN 400;D;ALUMIINIUM;4.01;1.64;0.2;2010;;1;14.7;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TERHI;SUNNY;D;PLASTIK;3.1;1.47;0.2;2008;2017-07-21;1;3.7;Rapla;FYYSILINE
VÄIKELAEV;MOOTORPAAT;OMAVALMISTATUD;-;C;PLASTIK;8.0;2.96;0.75;1990;;1;30.0;Tartu;FYYSILINE
ALLA12MLAEV;KALAPAAT;MÄÄRAMATA;-;C;PLASTIK;7.5;2.4;0.45;1991;;1;30.0;Pärnu;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;4.7;1.3;0.0;1997;;0;5.0;Järva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MOVE;500 HTS;C;PLASTIK;4.96;1.96;0.5;1986;1992-09-22;1;55.2;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;VELES;330;D;KANGAS;3.3;1.65;0.42;2010;;1;11.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.3;1.55;0.28;1993;2016-08-09;1;4.0;Saare;FYYSILINE
ALLA12MLAEV;KALAPAAT;PELLA;FJORD;D;PLASTIK;4.3;1.39;0.2;1989;;1;1.5;Lääne;FYYSILINE
VÄIKELAEV;MOOTORPAAT;ZODIAC;CADET FR340ACTI-V;C;KANGAS;3.4;1.79;0.25;2007;;1;12.0;Tartu;FYYSILINE
ALLA12MLAEV;KALAPAAT;-;-;D;PLASTIK;5.0;1.9;0.3;1995;;1;10.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BELLA;530 HT;C;PLASTIK;5.3;2.05;;;2022-10-07;1;41.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;BUSH;K300;D;KANGAS;3.0;1.47;0.0;2007;;1;10.0;Ida-Viru;FYYSILINE
VÄIKELAEV;KALAPAAT;-;-;D;PUIT;3.8;1.3;0.15;1991;;0;4.0;Lääne-Viru;FYYSILINE
JETT;;SEA-DOO;GTX LTD 300;C;;3.35;1.25;;2022;2022-08-17;1;217.0;Harju;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;TERHI;375;D;PLASTIK;3.75;1.5;0.2;1986;2015-04-21;1;3.7;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PAKRI;450 COMFORT;C;PLASTIK;4.5;1.6;0.28;2011;;1;11.2;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;NORDLINE;42;D;PLASTIK;4.2;1.55;0.2;2017;2017-04-17;1;7.5;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;VELES;400;D;KANGAS;4.0;1.97;0.25;2016;2016-10-10;1;22.0;Harju;FYYSILINE
ALLA12MLAEV;KALAPAAT;OMAVALMISTATUD;-;C;ALUMIINIUM;8.1;3.0;0.4;;2020-08-18;1;110.0;Tartu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;YAMARIN;410;D;PLASTIK;4.05;1.65;0.3;1989;2019-03-28;1;11.0;Jõgeva;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PROGRESS;2;C;ALUMIINIUM;4.65;1.7;0.2;1971;;1;5.9;Tartu;FYYSILINE
ALLA12MLAEV;KALAPAAT;LAPPAJA;-;C;PUIT;8.12;2.65;0.4;1982;;1;18.4;Pärnu;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;LOTTA;360;D;PLASTIK;3.6;1.5;0.3;;2020-10-16;1;7.5;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;HIBO;RIB-360;C;PLASTIK;3.6;1.64;0.2;2011;;1;18.6;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;VELES;275;D;KANGAS;2.75;1.35;0.15;2014;2014-07-15;1;4.4;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;LINGALAID;450;D;PLASTIK;4.5;1.3;0.1;2013;;1;3.4;Viljandi;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;PUIT;3.8;1.3;0.0;1991;;0;6.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;3.1;0.95;0.0;1995;;0;4.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BELLA;450TL;C;PLASTIK;4.5;1.8;;;2014-03-21;1;30.0;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;OMAVALMISTATUD;-;C;PUIT;5.2;1.8;0.4;2007;;1;25.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;ORION;6 E;D;KUMM;2.6;1.4;0.1;2008;;1;4.4;;FYYSILINE
VÄIKELAEV;MOOTORPAAT;NORD;460;D;PLASTIK;4.6;1.65;0.35;2012;;0;15.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BAYLINER CAPRI;1700;C;PLASTIK;5.1;2.1;0.4;1995;;1;90.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;KAZANKA;-;D;ALUMIINIUM;4.63;1.27;0.15;1971;;1;18.4;Viljandi;FYYSILINE
VÄIKELAEV;MOOTORPAAT;DULKAN;D370;C;KANGAS;3.7;1.7;0.15;2017;2017-03-13;1;14.9;Lääne;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;BUSH;K330;C;KANGAS;3.3;1.53;0.1;2007;;1;10.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430;D;PLASTIK;4.3;1.55;0.28;2011;;1;4.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;PLASTIK;4.15;1.56;0.18;1985;;0;4.0;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;C;PLASTIK;4.36;1.46;0.0;1990;;0;4.0;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BUSTER;M;C;ALUMIINIUM;4.6;1.86;0.19;2011;;1;30.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;LADYA;L-450 MK;C;KANGAS;4.5;1.9;0.32;2021;2022-01-11;1;29.4;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;DULKAN;D-420 DZ;C;KANGAS;4.2;1.85;0.2;2021;2021-05-14;1;22.1;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;CATRAN;MARINE 320AB;C;KANGAS;3.2;1.52;0.15;2014;2017-07-26;1;11.2;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;VELES;301;D;KANGAS;3.0;1.45;0.15;2013;2014-08-05;1;7.4;Harju;FYYSILINE
