LIIK;TYYP;MARK;MUDEL;KATEGOORIA;KERE_MATERJAL;PIKKUS;LAIUS;SYVIS;EHITUSAASTA;ESMANE_REG_KP;MOOTORITE_ARV;MOOTORITE_VOIMSUS;VKOM_MAAKOND;VKOM_TYYP
VÄIKELAEV;SÕUDEPAAT;PELLA;FJORD;D;PLASTIK;4.3;1.39;0.2;1987;;1;1.5;Lääne;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;ALUMIINIUM;4.3;1.31;0.25;1989;;0;4.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;FJORD-ALI;-;C;PLASTIK;4.8;1.8;0.0;1997;;1;52.0;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TERHI;430S;C;PLASTIK;4.43;1.73;0.3;1971;;1;45.0;Viljandi;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BOMBARD;TYPHOON 305;C;KANGAS;3.05;1.5;0.1;2006;;1;5.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;PLASTIK;4.1;1.46;0.15;1996;;0;4.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;VELES;275;D;KANGAS;2.75;1.35;0.15;2011;;1;4.4;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MONARK;-;C;PLASTIK;4.6;1.85;0.24;;2021-05-17;1;44.2;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;3.0;1.3;0.0;2003;;0;2.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;SKIPP;400;D;PLASTIK;4.0;1.42;0.25;2012;;1;3.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;PLASTIK;3.7;1.5;0.2;2004;;0;8.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;3.7;1.46;0.15;2006;;1;6.0;Viljandi;FYYSILINE
VÄIKELAEV;MOOTORPAAT;OMAVALMISTATUD;-;D;PLASTIK;4.1;1.4;0.6;2006;;1;8.0;Võru;FYYSILINE
ALLA12MLAEV;KALAPAAT;BUSTER;R ;D;ALUMIINIUM;4.15;1.7;0.3;1980;;1;25.0;Põlva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BENETEAU;ANTARES 6.80;C;PLASTIK;6.43;2.5;0.53;2013;2014-07-08;1;85.0;;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;4;D;ALUMIINIUM;4.49;1.72;0.18;1978;;1;37.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;4;D;ALUMIINIUM;4.65;1.7;0.3;1974;;1;29.4;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BUSH;K-360;C;KANGAS;3.6;1.7;0.1;2006;;1;18.0;Rapla;FYYSILINE
