Match ID,City,Date,Match Type,Match Type Number,Season,Team Type,Team 1,Team 2,Toss Winner,Toss Decision,Venue,Winner,win_margin_type,Win Margin,Player of the Match,Event Name,Event Match Number,Event Stage,Gender,Umpire 1,Umpire 2,TV Umpire,Match Referee
325579,Dublin,2008-07-29,ODI,2738,2008,international,Netherlands,Scotland,Netherlands,bat,Clontarf Cricket Club Ground,Scotland,wickets,6.0,,European Championship Division One,11.0,,male,PK Baldwin,BF Bowden,,BC Broad
325580,Dublin,2008-07-31,ODI,2739,2008,international,Ireland,Scotland,Ireland,field,Clontarf Cricket Club Ground,Ireland,wickets,7.0,,European Championship Division One,13.0,,male,PK Baldwin,BF Bowden,,BC Broad
325581,Nairobi,2008-10-17,ODI,2766,2008/09,international,Ireland,Zimbabwe,Zimbabwe,bat,Gymkhana Club Ground,Zimbabwe,runs,156.0,,Tri-Nation Tournament in Kenya,1.0,,male,M Erasmus,RB Tiffin,,RS Mahanama
325800,Karachi,2008-01-21,ODI,2662,2007/08,international,Pakistan,Zimbabwe,Zimbabwe,field,National Stadium,Pakistan,runs,104.0,Nasir Jamshed,Zimbabwe in Pakistan ODI Series,1.0,,male,EAR de Silva,Zameer Haider,Riazuddin,BC Broad
325801,Sind,2008-01-24,ODI,2663,2007/08,international,Pakistan,Zimbabwe,Zimbabwe,bat,"Niaz Stadium, Hyderabad",Pakistan,wickets,5.0,Sohail Tanvir,Zimbabwe in Pakistan ODI Series,2.0,,male,EAR de Silva,Nadeem Ghauri,Riazuddin,BC Broad
325802,,2008-01-27,ODI,2665,2007/08,international,Pakistan,Zimbabwe,Pakistan,bat,Multan Cricket Stadium,Pakistan,runs,37.0,Shahid Afridi,Zimbabwe in Pakistan ODI Series,3.0,,male,EAR de Silva,Nadeem Ghauri,Zameer Haider,BC Broad
325803,Faisalabad,2008-01-30,ODI,2667,2007/08,international,Pakistan,Zimbabwe,Zimbabwe,bat,Iqbal Stadium,Pakistan,wickets,7.0,Shoaib Malik,Zimbabwe in Pakistan ODI Series,4.0,,male,Aleem Dar,EAR de Silva,Zameer Haider,BC Broad
325804,,2008-02-02,ODI,2669,2007/08,international,Pakistan,Zimbabwe,Zimbabwe,bat,Sheikhupura Stadium,Pakistan,wickets,7.0,Younis Khan,Zimbabwe in Pakistan ODI Series,5.0,,male,Aleem Dar,EAR de Silva,Nadeem Ghauri,BC Broad
335346,Lahore,2008-06-24,ODI,2711,2008,international,Bangladesh,United Arab Emirates,Bangladesh,bat,Gaddafi Stadium,Bangladesh,runs,96.0,Mohammad Ashraful,Asia Cup,1.0,,male,IJ Gould,SJA Taufel,Zameer Haider,MJ Procter
335347,Karachi,2008-06-24,ODI,2712,2008,international,Pakistan,Hong Kong,Pakistan,bat,National Stadium,Pakistan,runs,155.0,Sohail Tanvir,Asia Cup,2.0,,male,AL Hill,BG Jerling,AM Saheba,AG Hurst
